ID,W1WG2: CM - Information retrieval,"W2WG2: BL - AI, a modern approach (ch 1)",W3WG1:  CM - Evolutionary robotics,presentation 1,samenvatting (groep),DT1,W5WG1: BL - Complex adaptive systems,W6WG1: CM - Knowledge representation,W7WG1: BL - Deep learning,presentation 2,Poster presentation (group),DT2,Eindcijfer
135,8.0,6.0,7.0,8.0,8.00,9.0,8.0,8.0,8.0,8.0,7.50,8.5,8.38
136,8.0,7.0,8.0,6.0,6.00,6.5,7.0,8.0,8.0,9.0,6.75,3.0,6.03
137,8.0,6.0,7.0,6.0,7.50,5.0,7.0,8.0,7.0,7.0,8.00,6.5,6.71
138,8.0,9.0,8.0,8.0,8.50,7.0,9.0,8.0,8.0,8.0,8.75,9.5,8.52
139,9.0,8.0,8.0,9.0,9.50,9.0,9.0,8.0,9.0,8.0,8.25,7.0,8.52
140,6.0,9.0,7.0,7.0,8.00,6.5,9.0,8.0,8.0,6.0,8.75,7.0,7.51
141,5.0,7.0,7.0,8.0,6.00,6.5,9.0,8.0,8.0,7.0,8.75,6.0,6.97
142,7.0,7.0,7.0,7.0,5.50,8.5,8.0,8.0,7.0,8.0,8.25,7.0,7.59
143,6.0,6.5,5.0,8.0,6.00,6.5,6.5,8.0,6.0,7.0,8.00,4.0,6.16
144,8.0,6.0,7.0,6.0,6.00,4.5,5.0,8.0,7.0,7.0,5.25,5.5,5.74
145,7.0,7.0,6.0,8.0,8.50,9.5,8.5,8.0,7.0,7.5,7.25,7.5,8.21
146,6.0,6.5,5.0,8.0,7.00,8.0,6.5,8.0,6.0,7.0,5.75,9.0,7.63
147,8.0,9.0,8.0,8.0,9.00,6.5,9.0,8.0,8.0,8.0,8.75,7.5,7.95
148,7.0,8.0,8.0,5.0,5.00,5.5,8.0,8.0,8.0,6.0,5.50,6.0,6.16
149,7.0,8.0,8.0,6.0,6.50,7.5,8.0,8.0,8.0,6.0,5.50,5.0,6.63
150,8.0,6.0,7.0,7.0,7.00,7.5,8.0,8.0,7.0,8.0,6.50,5.0,6.81
151,7.0,7.0,7.0,7.0,5.50,7.5,8.0,8.0,7.0,9.0,8.25,4.0,6.62
152,7.0,7.0,8.0,8.0,6.50,9.0,7.0,8.0,8.0,8.0,8.25,8.0,8.16
153,7.0,8.0,8.0,8.0,8.50,6.0,7.0,8.0,6.0,9.0,6.75,6.0,6.97
154,7.0,7.0,8.0,8.0,9.00,8.5,7.0,8.0,8.0,8.0,8.25,6.0,7.84
155,6.0,6.0,7.0,8.0,6.50,6.5,7.0,8.0,8.0,7.0,9.00,3.0,6.24
156,8.0,7.0,8.0,8.0,7.00,7.5,8.0,8.0,8.0,8.0,8.50,6.5,7.57
157,6.0,6.0,6.0,7.5,7.00,4.5,8.5,8.0,8.0,7.5,7.75,6.0,6.41
158,7.0,8.0,8.0,7.0,7.50,5.0,7.0,8.0,6.0,9.0,6.75,7.0,6.81
159,7.0,8.0,8.0,9.0,5.50,6.5,9.0,8.0,7.0,9.0,8.00,5.0,6.76
160,6.0,8.0,8.0,7.0,5.50,4.5,8.0,8.0,6.0,8.0,6.75,2.5,5.28
161,6.0,6.0,7.0,7.0,7.00,4.5,7.0,8.0,9.0,7.5,7.25,6.0,6.35
163,6.0,8.0,8.0,8.0,7.00,5.0,9.0,8.0,8.0,7.0,5.50,5.5,6.29
164,7.0,8.0,8.0,7.0,6.00,5.0,7.0,8.0,6.0,9.0,6.75,8.0,6.87
165,8.0,6.0,7.0,8.0,5.50,8.0,8.0,8.0,8.0,8.0,7.75,6.5,7.34
166,8.0,6.0,7.0,7.0,6.00,4.5,7.0,8.0,8.0,8.0,6.75,5.5,6.09
167,7.0,6.0,8.0,9.0,7.50,7.5,9.0,8.0,7.0,9.0,8.00,6.5,7.56
168,7.0,7.0,7.0,9.0,7.50,8.0,9.0,8.0,7.0,8.0,8.50,6.0,7.59
169,7.0,7.0,7.0,8.0,4.50,5.5,8.0,8.0,7.0,8.0,5.75,4.5,5.81
170,9.0,8.0,7.0,6.0,8.50,9.5,8.0,8.0,8.0,8.0,7.50,8.5,8.60
172,7.0,8.0,7.0,7.0,6.00,5.0,9.0,8.0,7.0,8.0,5.75,4.0,5.78
173,6.0,6.0,7.0,7.0,5.00,6.0,7.0,8.0,9.0,7.5,7.25,5.0,6.23
174,7.0,8.0,8.0,9.0,9.00,6.5,9.0,8.0,9.0,8.0,7.75,6.5,7.58
175,7.0,7.0,7.0,9.0,7.00,8.0,9.0,8.0,7.0,8.0,8.50,6.5,7.66
176,6.0,6.0,7.0,7.0,8.00,5.0,8.0,8.0,5.0,7.0,7.75,3.5,5.92
177,7.0,7.0,8.0,7.0,8.00,6.0,7.0,8.0,8.0,8.0,8.25,6.0,7.06
178,6.0,5.0,4.5,7.0,6.50,7.0,8.0,8.0,8.0,7.0,8.75,6.0,6.97
179,6.0,6.0,7.0,8.0,7.00,7.5,7.0,8.0,8.0,7.0,9.00,5.5,7.18
181,6.0,7.0,7.0,9.0,6.00,9.0,7.0,8.0,7.0,8.0,8.50,7.5,7.93
182,6.0,8.0,8.0,7.0,7.00,6.5,8.0,8.0,6.0,8.0,6.75,6.0,6.84
183,7.0,9.0,7.0,7.0,8.00,8.0,8.0,8.0,9.0,7.0,6.75,6.5,7.57
184,7.0,8.0,7.0,9.0,8.00,8.0,8.5,8.0,9.0,9.0,7.25,5.0,7.37
185,7.0,6.0,8.0,5.0,2.50,4.5,5.0,8.0,8.0,7.0,6.75,6.0,5.61
186,5.0,6.0,7.0,8.0,5.50,6.5,5.0,8.0,7.0,7.0,8.50,5.5,6.54
187,6.0,7.0,8.0,7.0,5.00,4.0,7.0,9.0,8.0,8.0,8.75,4.0,5.75
188,6.0,7.0,7.0,6.0,6.00,7.0,7.0,9.0,7.0,8.0,8.00,4.5,6.56
189,8.0,7.5,8.0,9.0,8.50,6.5,8.0,9.0,8.0,9.0,7.50,6.5,7.50
190,7.0,8.0,7.0,9.0,8.50,6.0,9.0,9.0,8.0,7.0,8.00,6.5,7.35
191,8.0,7.0,8.0,7.0,6.50,5.0,8.0,9.0,9.0,8.0,8.75,6.0,6.83
192,7.0,8.0,5.0,9.0,8.00,8.0,9.0,9.0,7.0,9.0,8.00,7.0,7.88
193,7.0,8.0,7.0,9.0,9.00,7.5,9.0,9.0,8.0,7.0,8.00,6.0,7.67
194,7.0,9.0,9.0,8.0,7.50,5.0,8.0,9.0,8.0,9.0,6.75,6.0,6.80
195,6.0,8.0,9.0,8.0,8.50,6.0,9.0,9.0,8.0,7.0,7.75,5.5,7.08
196,7.0,6.0,7.0,7.0,7.00,7.0,8.0,9.0,7.0,7.0,7.75,7.0,7.31
197,6.0,6.0,7.0,8.0,5.50,4.5,7.0,9.0,6.0,7.0,7.50,5.0,5.89
198,8.0,7.0,8.0,9.0,6.50,6.0,8.0,9.0,8.0,9.0,8.25,6.0,7.07
199,6.0,7.0,8.0,8.0,8.00,7.5,7.0,9.0,8.0,9.0,8.50,7.0,7.78
200,8.0,7.0,8.0,7.0,6.00,7.5,8.0,9.0,9.0,8.0,8.75,7.0,7.64
201,7.0,6.0,7.0,6.0,3.50,6.0,8.0,9.0,7.0,7.0,8.25,4.5,6.03
202,7.0,9.0,9.0,8.0,5.00,8.0,8.0,9.0,8.0,9.0,6.75,7.0,7.49
203,9.0,8.0,9.0,9.0,7.50,8.0,8.0,9.0,9.0,8.0,8.75,6.0,7.87
204,8.0,7.5,8.0,9.0,7.50,6.5,8.0,9.0,8.0,9.0,7.50,6.0,7.25
205,6.0,6.0,7.0,8.0,5.00,4.5,7.0,9.0,8.0,7.0,7.50,6.0,6.15
206,6.0,8.0,9.0,8.0,8.50,7.0,9.0,9.0,8.0,7.0,7.75,5.5,7.33
